SetNames	Counts1	Counts2	Dist
GP2_ImmuneTcellBcell_score	41	44	60.1414998150196
Tcell_21978456	34	48	58.821764679411
Module4_TcellBcell_score	45	37	58.258046654518
LCK_19272155	40	42	58
IL12_score_21050467	41	40	57.2800139664787
TcClassII_score	37	43	56.7274184147313
ICR_SCORE	42	33	53.4134814442946
HER2_Immune_PCA_18006808	36	39	53.0754180388624
Module5_TcellBcell_score	34	29	44.6878059430087
T cells	27	16	31.3847096529504
