Dat2SB	ParticipantBarcode	Study	SampleTypeLetterCode	K2	K3	K4	K5	K6	K7	K8	K9	K10	K11	K12
TCGA-CV-A6JM-01A	TCGA-CV-A6JM	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-CV-A6JN-01A	TCGA-CV-A6JN	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-CV-A6JO-01B	TCGA-CV-A6JO	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-CV-A6JT-01A	TCGA-CV-A6JT	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-CV-A6JU-01A	TCGA-CV-A6JU	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-CV-A6JY-01A	TCGA-CV-A6JY	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-CV-A6JZ-01A	TCGA-CV-A6JZ	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-CV-A6K0-01B	TCGA-CV-A6K0	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-CV-A6K1-01A	TCGA-CV-A6K1	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-CV-A6K2-01A	TCGA-CV-A6K2	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-CX-7082-01A	TCGA-CX-7082	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-CX-7085-01A	TCGA-CX-7085	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-CX-7086-01A	TCGA-CX-7086	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-CX-7219-01A	TCGA-CX-7219	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-CX-A4AQ-01A	TCGA-CX-A4AQ	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-D6-6515-01A	TCGA-D6-6515	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-D6-6516-01A	TCGA-D6-6516	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-D6-6517-01A	TCGA-D6-6517	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-D6-6823-01A	TCGA-D6-6823	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-D6-6824-01A	TCGA-D6-6824	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-D6-6825-01A	TCGA-D6-6825	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-D6-6826-01A	TCGA-D6-6826	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-D6-6827-01A	TCGA-D6-6827	HNSC	TP	1	1	3	4	5	5	6	5	5	3	3
TCGA-D6-8568-01A	TCGA-D6-8568	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-D6-8569-01A	TCGA-D6-8569	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-D6-A4Z9-01A	TCGA-D6-A4Z9	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-D6-A4ZB-01A	TCGA-D6-A4ZB	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-D6-A6EK-01A	TCGA-D6-A6EK	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-D6-A6EM-01A	TCGA-D6-A6EM	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-D6-A6EN-01A	TCGA-D6-A6EN	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-D6-A6EO-01A	TCGA-D6-A6EO	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-D6-A6EP-01A	TCGA-D6-A6EP	HNSC	TP	1	1	3	4	1	1	5	1	1	5	5
TCGA-D6-A6EQ-01A	TCGA-D6-A6EQ	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-D6-A6ES-01A	TCGA-D6-A6ES	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-D6-A74Q-01A	TCGA-D6-A74Q	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DQ-5624-01A	TCGA-DQ-5624	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DQ-5625-01A	TCGA-DQ-5625	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DQ-5629-01A	TCGA-DQ-5629	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DQ-5630-01A	TCGA-DQ-5630	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DQ-5631-01A	TCGA-DQ-5631	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DQ-7588-01A	TCGA-DQ-7588	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DQ-7589-01A	TCGA-DQ-7589	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DQ-7590-01A	TCGA-DQ-7590	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DQ-7591-01A	TCGA-DQ-7591	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DQ-7592-01A	TCGA-DQ-7592	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DQ-7593-01A	TCGA-DQ-7593	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DQ-7594-01A	TCGA-DQ-7594	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DQ-7595-01A	TCGA-DQ-7595	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-DQ-7596-01A	TCGA-DQ-7596	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-F7-7848-01A	TCGA-F7-7848	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-F7-8298-01A	TCGA-F7-8298	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-F7-8489-01A	TCGA-F7-8489	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-F7-A50G-01A	TCGA-F7-A50G	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-F7-A50I-01A	TCGA-F7-A50I	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-F7-A50J-01A	TCGA-F7-A50J	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-F7-A61S-01A	TCGA-F7-A61S	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-F7-A61V-01A	TCGA-F7-A61V	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-F7-A61W-01A	TCGA-F7-A61W	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-F7-A620-01A	TCGA-F7-A620	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-F7-A622-01A	TCGA-F7-A622	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-F7-A623-01A	TCGA-F7-A623	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-F7-A624-01A	TCGA-F7-A624	HNSC	TP	1	3	3	4	5	5	6	5	8	7	7
TCGA-H7-7774-01A	TCGA-H7-7774	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-H7-8501-01A	TCGA-H7-8501	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-H7-8502-01A	TCGA-H7-8502	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-H7-A6C4-01A	TCGA-H7-A6C4	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-H7-A76A-01A	TCGA-H7-A76A	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-HD-7229-01A	TCGA-HD-7229	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-HD-7753-01A	TCGA-HD-7753	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-HD-7754-01A	TCGA-HD-7754	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-HD-7831-01A	TCGA-HD-7831	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-HD-7832-01A	TCGA-HD-7832	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-HD-7917-01A	TCGA-HD-7917	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-HD-8224-01A	TCGA-HD-8224	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-HD-8314-01A	TCGA-HD-8314	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-HD-8634-01A	TCGA-HD-8634	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-HD-8635-01A	TCGA-HD-8635	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-HD-A4C1-01A	TCGA-HD-A4C1	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-HD-A633-01A	TCGA-HD-A633	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-HD-A634-01A	TCGA-HD-A634	HNSC	TP	1	1	1	1	1	1	5	1	1	5	5
TCGA-HD-A6HZ-01A	TCGA-HD-A6HZ	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-HD-A6I0-01A	TCGA-HD-A6I0	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-HL-7533-01A	TCGA-HL-7533	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-IQ-7630-01A	TCGA-IQ-7630	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-IQ-7631-01A	TCGA-IQ-7631	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-IQ-7632-01A	TCGA-IQ-7632	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-IQ-A61E-01A	TCGA-IQ-A61E	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-IQ-A61G-01A	TCGA-IQ-A61G	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-IQ-A61H-01A	TCGA-IQ-A61H	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-IQ-A61I-01A	TCGA-IQ-A61I	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-IQ-A61J-01A	TCGA-IQ-A61J	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-IQ-A61O-01A	TCGA-IQ-A61O	HNSC	TP	1	1	3	4	5	5	6	5	5	3	3
TCGA-IQ-A6SG-01A	TCGA-IQ-A6SG	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-IQ-A6SH-01A	TCGA-IQ-A6SH	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-KU-A66S-01A	TCGA-KU-A66S	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-KU-A66T-01A	TCGA-KU-A66T	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-KU-A6H7-01A	TCGA-KU-A6H7	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-KU-A6H8-01A	TCGA-KU-A6H8	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-MT-A51W-01A	TCGA-MT-A51W	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-MT-A51X-01A	TCGA-MT-A51X	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-MT-A67A-01A	TCGA-MT-A67A	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-MT-A67D-01A	TCGA-MT-A67D	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-MT-A67F-01A	TCGA-MT-A67F	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-MT-A7BN-01A	TCGA-MT-A7BN	HNSC	TP	1	1	1	1	2	2	2	2	5	3	3
TCGA-MZ-A5BI-01A	TCGA-MZ-A5BI	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-MZ-A6I9-01A	TCGA-MZ-A6I9	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-MZ-A7D7-01A	TCGA-MZ-A7D7	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-P3-A5Q5-01A	TCGA-P3-A5Q5	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-P3-A5Q6-01A	TCGA-P3-A5Q6	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-P3-A5QA-01A	TCGA-P3-A5QA	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-P3-A5QE-01A	TCGA-P3-A5QE	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-P3-A5QF-01A	TCGA-P3-A5QF	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-P3-A6SW-01A	TCGA-P3-A6SW	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-P3-A6SX-01A	TCGA-P3-A6SX	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-P3-A6T0-01A	TCGA-P3-A6T0	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-P3-A6T2-01A	TCGA-P3-A6T2	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-P3-A6T3-01A	TCGA-P3-A6T3	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-P3-A6T4-01A	TCGA-P3-A6T4	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-P3-A6T5-01A	TCGA-P3-A6T5	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-P3-A6T6-01A	TCGA-P3-A6T6	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-P3-A6T7-01A	TCGA-P3-A6T7	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-P3-A6T8-01A	TCGA-P3-A6T8	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-QK-A64Z-01A	TCGA-QK-A64Z	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-QK-A652-01A	TCGA-QK-A652	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-QK-A6IF-01A	TCGA-QK-A6IF	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-QK-A6IG-01A	TCGA-QK-A6IG	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-QK-A6IH-01A	TCGA-QK-A6IH	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-QK-A6II-01A	TCGA-QK-A6II	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-QK-A6IJ-01A	TCGA-QK-A6IJ	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-QK-A6V9-01A	TCGA-QK-A6V9	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-QK-A6VB-01A	TCGA-QK-A6VB	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-QK-A6VC-01A	TCGA-QK-A6VC	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-QK-A8Z7-01A	TCGA-QK-A8Z7	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-QK-A8Z8-01A	TCGA-QK-A8Z8	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-QK-A8Z9-01B	TCGA-QK-A8Z9	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-QK-A8ZA-01A	TCGA-QK-A8ZA	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-QK-A8ZB-01A	TCGA-QK-A8ZB	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-QK-AA3J-01A	TCGA-QK-AA3J	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-QK-AA3K-01A	TCGA-QK-AA3K	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-RS-A6TO-01A	TCGA-RS-A6TO	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-RS-A6TP-01A	TCGA-RS-A6TP	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-T2-A6WX-01A	TCGA-T2-A6WX	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-T2-A6WZ-01A	TCGA-T2-A6WZ	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-T2-A6X0-01A	TCGA-T2-A6X0	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-T2-A6X2-01A	TCGA-T2-A6X2	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-T3-A92M-01A	TCGA-T3-A92M	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-T3-A92N-01A	TCGA-T3-A92N	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-TN-A7HI-01A	TCGA-TN-A7HI	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-TN-A7HJ-01A	TCGA-TN-A7HJ	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-TN-A7HL-01A	TCGA-TN-A7HL	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-UF-A718-01A	TCGA-UF-A718	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-UF-A719-01A	TCGA-UF-A719	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-UF-A71A-01A	TCGA-UF-A71A	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-UF-A71B-01A	TCGA-UF-A71B	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-UF-A71D-01A	TCGA-UF-A71D	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-UF-A71E-01A	TCGA-UF-A71E	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-UF-A7J9-01A	TCGA-UF-A7J9	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-UF-A7JA-01A	TCGA-UF-A7JA	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-UF-A7JC-01A	TCGA-UF-A7JC	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-UF-A7JD-01A	TCGA-UF-A7JD	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-UF-A7JF-01A	TCGA-UF-A7JF	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-UF-A7JH-01A	TCGA-UF-A7JH	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-UF-A7JJ-01A	TCGA-UF-A7JJ	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-UF-A7JK-01A	TCGA-UF-A7JK	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-UF-A7JO-01A	TCGA-UF-A7JO	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-UF-A7JS-01A	TCGA-UF-A7JS	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-UF-A7JT-01A	TCGA-UF-A7JT	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-UF-A7JV-01A	TCGA-UF-A7JV	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-UP-A6WW-01A	TCGA-UP-A6WW	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-WA-A7GZ-01A	TCGA-WA-A7GZ	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-WA-A7H4-01A	TCGA-WA-A7H4	HNSC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-2A-A8VL-01A	TCGA-2A-A8VL	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-2A-A8VO-01A	TCGA-2A-A8VO	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-2A-A8VT-01A	TCGA-2A-A8VT	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-2A-A8VV-01A	TCGA-2A-A8VV	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-2A-A8VX-01A	TCGA-2A-A8VX	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-2A-A8W1-01A	TCGA-2A-A8W1	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-2A-A8W3-01A	TCGA-2A-A8W3	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-2A-AAYF-01A	TCGA-2A-AAYF	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-2A-AAYO-01A	TCGA-2A-AAYO	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-2A-AAYU-01A	TCGA-2A-AAYU	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-4L-AA1F-01A	TCGA-4L-AA1F	PRAD	TP	1	1	1	1	2	2	2	2	2	4	4
TCGA-CH-5737-01A	TCGA-CH-5737	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5738-01A	TCGA-CH-5738	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5739-01A	TCGA-CH-5739	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5740-01A	TCGA-CH-5740	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5741-01A	TCGA-CH-5741	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5743-01A	TCGA-CH-5743	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5744-01A	TCGA-CH-5744	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5745-01A	TCGA-CH-5745	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5746-01A	TCGA-CH-5746	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5748-01A	TCGA-CH-5748	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5750-01A	TCGA-CH-5750	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5751-01A	TCGA-CH-5751	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5752-01A	TCGA-CH-5752	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5753-01A	TCGA-CH-5753	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5754-01A	TCGA-CH-5754	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5761-01A	TCGA-CH-5761	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5762-01A	TCGA-CH-5762	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5763-01A	TCGA-CH-5763	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5764-01A	TCGA-CH-5764	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5765-01A	TCGA-CH-5765	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5766-01A	TCGA-CH-5766	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5767-01A	TCGA-CH-5767	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5768-01A	TCGA-CH-5768	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5769-01A	TCGA-CH-5769	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5771-01A	TCGA-CH-5771	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5772-01A	TCGA-CH-5772	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5788-01A	TCGA-CH-5788	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5789-01A	TCGA-CH-5789	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5790-01A	TCGA-CH-5790	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5791-01A	TCGA-CH-5791	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5792-01A	TCGA-CH-5792	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-CH-5794-01A	TCGA-CH-5794	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-EJ-5494-01A	TCGA-EJ-5494	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-EJ-5495-01A	TCGA-EJ-5495	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-EJ-5496-01A	TCGA-EJ-5496	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-EJ-5497-01A	TCGA-EJ-5497	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-EJ-5498-01A	TCGA-EJ-5498	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-EJ-5499-01A	TCGA-EJ-5499	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-EJ-5501-01A	TCGA-EJ-5501	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-EJ-5502-01A	TCGA-EJ-5502	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-EJ-5503-01A	TCGA-EJ-5503	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-EJ-5504-01A	TCGA-EJ-5504	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-EJ-5505-01A	TCGA-EJ-5505	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-EJ-5506-01A	TCGA-EJ-5506	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-EJ-5507-01A	TCGA-EJ-5507	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-EJ-5508-01A	TCGA-EJ-5508	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-EJ-5509-01A	TCGA-EJ-5509	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-EJ-5510-01A	TCGA-EJ-5510	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-EJ-5511-01A	TCGA-EJ-5511	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-EJ-5512-01A	TCGA-EJ-5512	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-EJ-5514-01A	TCGA-EJ-5514	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-EJ-5515-01A	TCGA-EJ-5515	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-EJ-5516-01A	TCGA-EJ-5516	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-EJ-5517-01A	TCGA-EJ-5517	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-EJ-5518-01A	TCGA-EJ-5518	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-EJ-5519-01A	TCGA-EJ-5519	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-EJ-5521-01A	TCGA-EJ-5521	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-EJ-5522-01A	TCGA-EJ-5522	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-EJ-5524-01A	TCGA-EJ-5524	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
TCGA-EJ-5525-01A	TCGA-EJ-5525	PRAD	TP	1	1	1	1	2	2	2	8	9	8	8
