Dat2SB	ParticipantBarcode	Study	SampleTypeLetterCode	K2	K3	K4	K5	K6	K7	K8	K9	K10	K11	K12
TCGA-OR-A5L9-01A	TCGA-OR-A5L9	ACC	TP	1	1	1	3	4	4	4	4	4	1	1
TCGA-OR-A5LA-01A	TCGA-OR-A5LA	ACC	TP	1	1	1	3	4	4	4	4	4	2	2
TCGA-OR-A5LB-01A	TCGA-OR-A5LB	ACC	TP	2	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5LC-01A	TCGA-OR-A5LC	ACC	TP	1	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5LD-01A	TCGA-OR-A5LD	ACC	TP	2	1	1	1	1	1	5	1	1	1	1
TCGA-OR-A5LE-01A	TCGA-OR-A5LE	ACC	TP	2	2	2	2	3	3	5	1	1	1	1
TCGA-OR-A5LG-01A	TCGA-OR-A5LG	ACC	TP	1	1	1	1	1	1	1	1	1	5	5
TCGA-OR-A5LH-01A	TCGA-OR-A5LH	ACC	TP	1	1	1	3	4	4	4	6	6	1	1
TCGA-OR-A5LJ-01A	TCGA-OR-A5LJ	ACC	TP	1	1	1	1	2	2	5	1	1	1	1
TCGA-OR-A5LK-01A	TCGA-OR-A5LK	ACC	TP	1	1	1	1	2	4	4	4	4	2	2
TCGA-OR-A5LL-01A	TCGA-OR-A5LL	ACC	TP	1	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5LM-01A	TCGA-OR-A5LM	ACC	TP	1	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5LN-01A	TCGA-OR-A5LN	ACC	TP	1	1	1	3	4	4	4	4	4	2	2
TCGA-OR-A5LO-01A	TCGA-OR-A5LO	ACC	TP	2	2	2	2	3	3	3	3	3	1	1
TCGA-OR-A5LP-01A	TCGA-OR-A5LP	ACC	TP	1	1	1	1	2	2	2	2	2	4	4
TCGA-OR-A5LR-01A	TCGA-OR-A5LR	ACC	TP	1	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5LS-01A	TCGA-OR-A5LS	ACC	TP	2	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5LT-01A	TCGA-OR-A5LT	ACC	TP	2	1	1	1	2	2	2	2	2	1	1
TCGA-OU-A5PI-01A	TCGA-OU-A5PI	ACC	TP	2	1	1	1	2	2	2	2	2	1	1
TCGA-P6-A5OF-01A	TCGA-P6-A5OF	ACC	TP	2	1	1	1	2	2	2	2	2	1	1
TCGA-P6-A5OG-01A	TCGA-P6-A5OG	ACC	TP	1	3	3	4	5	4	4	4	4	2	2
TCGA-PA-A5YG-01A	TCGA-PA-A5YG	ACC	TP	1	1	1	3	4	4	4	4	4	2	2
TCGA-PK-A5H8-01A	TCGA-PK-A5H8	ACC	TP	1	1	1	3	4	4	4	4	4	2	2
TCGA-PK-A5H9-01A	TCGA-PK-A5H9	ACC	TP	1	1	1	3	4	4	4	4	4	2	2
TCGA-PK-A5HA-01A	TCGA-PK-A5HA	ACC	TP	1	1	1	1	2	4	4	4	4	2	2
TCGA-PK-A5HB-01A	TCGA-PK-A5HB	ACC	TP	1	1	1	1	2	2	2	2	2	1	1
TCGA-2F-A9KO-01A	TCGA-2F-A9KO	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-2F-A9KP-01A	TCGA-2F-A9KP	BLCA	TP	1	3	1	1	2	2	2	2	5	3	3
TCGA-2F-A9KQ-01A	TCGA-2F-A9KQ	BLCA	TP	1	3	1	1	2	2	2	2	5	3	3
TCGA-2F-A9KR-01A	TCGA-2F-A9KR	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-2F-A9KT-01A	TCGA-2F-A9KT	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-2F-A9KW-01A	TCGA-2F-A9KW	BLCA	TP	1	3	3	4	5	5	6	5	2	4	4
TCGA-4Z-AA7M-01A	TCGA-4Z-AA7M	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-4Z-AA7N-01A	TCGA-4Z-AA7N	BLCA	TP	1	3	1	1	2	2	2	2	2	4	4
TCGA-4Z-AA7O-01A	TCGA-4Z-AA7O	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-4Z-AA7Q-01A	TCGA-4Z-AA7Q	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-4Z-AA7R-01A	TCGA-4Z-AA7R	BLCA	TP	1	3	3	4	5	5	6	5	1	5	5
TCGA-4Z-AA7S-01A	TCGA-4Z-AA7S	BLCA	TP	1	3	1	1	2	2	2	2	2	4	4
TCGA-4Z-AA7W-01A	TCGA-4Z-AA7W	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-4Z-AA7Y-01A	TCGA-4Z-AA7Y	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-4Z-AA80-01A	TCGA-4Z-AA80	BLCA	TP	1	3	4	5	6	6	7	7	7	6	6
TCGA-4Z-AA81-01A	TCGA-4Z-AA81	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-4Z-AA82-01A	TCGA-4Z-AA82	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-4Z-AA83-01A	TCGA-4Z-AA83	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-4Z-AA84-01A	TCGA-4Z-AA84	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-4Z-AA86-01A	TCGA-4Z-AA86	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-4Z-AA87-01A	TCGA-4Z-AA87	BLCA	TP	1	3	3	4	5	5	6	5	1	5	5
TCGA-4Z-AA89-01A	TCGA-4Z-AA89	BLCA	TP	1	3	3	4	5	5	6	1	5	3	3
TCGA-5N-A9KI-01A	TCGA-5N-A9KI	BLCA	TP	1	3	4	5	6	6	7	7	7	6	6
TCGA-5N-A9KM-01A	TCGA-5N-A9KM	BLCA	TP	1	3	3	4	5	5	6	1	1	5	5
TCGA-BL-A0C8-01A	TCGA-BL-A0C8	BLCA	TP	1	3	1	1	2	2	2	2	2	4	4
TCGA-BL-A13I-01A	TCGA-BL-A13I	BLCA	TP	1	1	1	1	2	4	4	4	4	2	2
TCGA-BL-A13J-01A	TCGA-BL-A13J	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-BL-A3JM-01A	TCGA-BL-A3JM	BLCA	TP	1	1	1	1	2	2	2	2	2	4	4
TCGA-BL-A5ZZ-01A	TCGA-BL-A5ZZ	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-BT-A0S7-01A	TCGA-BT-A0S7	BLCA	TP	1	3	3	4	5	5	6	5	2	4	4
TCGA-BT-A0YX-01A	TCGA-BT-A0YX	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-BT-A20J-01A	TCGA-BT-A20J	BLCA	TP	1	3	3	4	5	5	6	5	8	7	7
TCGA-BT-A20N-01A	TCGA-BT-A20N	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-BT-A20O-01A	TCGA-BT-A20O	BLCA	TP	1	1	3	4	5	5	6	5	8	7	7
TCGA-BT-A20P-01A	TCGA-BT-A20P	BLCA	TP	1	3	3	4	5	5	6	1	1	5	5
TCGA-BT-A20Q-01A	TCGA-BT-A20Q	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-BT-A20R-01A	TCGA-BT-A20R	BLCA	TP	1	1	1	1	2	2	2	2	2	4	4
TCGA-BT-A20T-01A	TCGA-BT-A20T	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-BT-A20U-01A	TCGA-BT-A20U	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-BT-A20V-01A	TCGA-BT-A20V	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-BT-A20W-01A	TCGA-BT-A20W	BLCA	TP	1	3	1	1	2	2	2	2	2	4	4
TCGA-BT-A20X-01A	TCGA-BT-A20X	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-BT-A2LA-01A	TCGA-BT-A2LA	BLCA	TP	2	2	2	2	3	3	3	3	3	1	1
TCGA-BT-A2LB-01A	TCGA-BT-A2LB	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-BT-A2LD-01A	TCGA-BT-A2LD	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-BT-A3PH-01A	TCGA-BT-A3PH	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-BT-A3PJ-01A	TCGA-BT-A3PJ	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-BT-A3PK-01A	TCGA-BT-A3PK	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-BT-A42C-01A	TCGA-BT-A42C	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-BT-A42E-01A	TCGA-BT-A42E	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-BT-A42F-01A	TCGA-BT-A42F	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-C4-A0EZ-01A	TCGA-C4-A0EZ	BLCA	TP	1	1	1	1	2	2	5	1	1	5	5
TCGA-C4-A0F0-01A	TCGA-C4-A0F0	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-C4-A0F1-01A	TCGA-C4-A0F1	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-C4-A0F6-01A	TCGA-C4-A0F6	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-C4-A0F7-01A	TCGA-C4-A0F7	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-CF-A1HR-01A	TCGA-CF-A1HR	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-CF-A1HS-01A	TCGA-CF-A1HS	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-CF-A27C-01A	TCGA-CF-A27C	BLCA	TP	1	3	3	4	1	1	5	1	5	3	3
TCGA-CF-A3MF-01A	TCGA-CF-A3MF	BLCA	TP	1	3	4	5	1	1	5	7	5	3	3
TCGA-CF-A3MG-01A	TCGA-CF-A3MG	BLCA	TP	1	3	4	5	1	1	5	6	5	3	3
TCGA-CF-A3MH-01A	TCGA-CF-A3MH	BLCA	TP	1	3	4	5	1	1	5	1	5	3	3
TCGA-CF-A3MI-01A	TCGA-CF-A3MI	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-CF-A47S-01A	TCGA-CF-A47S	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
