SetNames	Counts1	Counts2	Dist
Bcell_21978456	2680	2665	3779.50062838995
CD103pos_CD103neg_ratio_25446897	2632	2613	3708.79940142359
CD8_CD68_ratio	2607	2633	3705.28514422305
Buck14_score	2100	2119	2983.31376157453
TAMsurr_TcClassII_ratio	2069	2104	2950.86038300696
C7_Atom_32	1918	1946	2732.33233703369
LYMPHS_PCA_16704732	1879	1840	2629.87471184465
C7_Atom_30	1839	1793	2568.4178009039
IL8_21978456	1799	1786	2534.99447731154
CSR_Activated_15701700	1766	1747	2484.10245360372
Module11_Prolif_score	1684	1674	2374.4750998905
CHANG_CORE_SERUM_RESPONSE_UP	1639	1680	2347.0664668901
C7_Atom_31	1553	1552	2195.56666945005
MCD3_CD8_21214954	1539	1554	2187.10699326759
C7_Atom_7	1534	1498	2144.09887831695
Rotterdam_ERneg_PCA_15721472	1483	1498	2107.91200006072
C7_Atom_25	1400	1417	1991.95607381287
Angiogenesis	1421	1376	1978.03361953229
C7_Atom_6	1393	1372	1955.20663869577
C7_Atom_11	1279	1284	1812.31812880631
C7_Atom_22	1217	1276	1763.31080640935
C7_Atom_16	1135	1193	1646.6553980721
C7_Atom_1	1111	1102	1564.84024743742
IFIT3	1080	1089	1533.72781157544
IL13_score_21050467	1099	1051	1520.65841003165
TREM1_data	1073	1074	1518.15842388072
C7_Atom_3	1025	1076	1486.06897551897
C7_Atom_14	1034	1060	1480.79573203059
GRANS_PCA_16704732	974	958	1366.17714810342
C7_Atom_24	948	934	1330.81178233438
TGFB_score_21050467	928	948	1326.60770388235
Interferon_19272155	950	922	1323.85195546934
Troester_WoundSig_19887484	902	901	1274.91372257106
C7_Atom_9	898	895	1267.84423333468
C7_Atom_17	851	862	1211.29888962221
IFN_21978456	833	835	1179.45495886871
C7_Atom_27	848	819	1178.92535811221
IgG_19272155	795	774	1109.54990874679
TGFB_PCA_17349583	764	740	1063.62399371206
PDL1_data	739	751	1053.62327233219
MHC.I_19272155	748	738	1050.78446886124
C7_Atom_23	749	731	1046.59543282015
MHC1_21978456	753	684	1017.28314642483
Immune_NSCLC_score	726	710	1015.46836484452
C7_Atom_18	674	721	986.973657196584
C7_Atom_28	695	674	968.143067939858
C7_Atom_4	639	720	962.663492607879
C7_Atom_19	649	644	914.295903961075
Interferon_Cluster_21214954	604	623	867.72403447179
Module3_IFN_score	599	595	844.290234457322
C7_Atom_2	560	553	787.025412550319
C7_Atom_15	529	573	779.852550165735
DAP12_data	538	549	768.664426131456
G_GIMAP4	522	554	761.183289359403
Bcell_mg_IGJ	500	536	733.004774882129
CD68	441	448	628.637415367555
C7_Atom_26	477	408	627.688617070598
GP11_Immune_IFN	398	454	603.754917164241
PD1_data	411	416	584.787995772827
CD103neg_mean_25446897	363	373	520.478625881986
C7_Atom_12	360	364	511.953122854036
IR7_score	317	330	457.59042822157
ICS5_score	287	295	411.575023537629
IGG_Cluster_21214954	279	279	394.565583902094
C7_Atom_13	290	248	381.580921954964
G_SIGLEC9	268	266	377.597669484334
CD103pos_mean_25446897	269	254	369.968917613358
IL4_score_21050467	254	253	358.503835404867
CTLA4_data	241	259	353.782419009198
C7_Atom_8	248	247	350.018570935886
G_HLA.DPA1	240	227	330.346787482488
CD8A	231	214	314.892044993201
C7_Atom_5	214	225	310.517310306527
NHI_5gene_score	225	192	295.785395176976
IFNG_score_21050467	198	199	280.722282692343
G_LILRB4	202	192	278.689791703966
C7_Atom_20	200	186	273.122683056534
MHC2_21978456	186	174	254.699823321493
Bcell_receptors_score	166	189	251.549199958974
PD1_PDL1_score	160	182	242.330353030734
C7_Atom_21	159	177	237.92856070678
C7_Atom_29	176	137	223.035871554331
TAMsurr_score	157	155	220.621848419417
Minterferon_Cluster_21214954	147	142	204.384441677932
MHC.II_19272155	140	134	193.793704748116
ICR_INHIB_SCORE	136	134	190.924068676529
LYM	141	126	189.095214111833
Antigen presenting machinery	140	120	184.390889145858
STAT1_19272155	140	119	183.741666477694
MDACC.FNA.1_20805453	126	116	171.26587517658
LIexpression_score	110	119	162.052460641608
CSF1_response	118	102	155.974356866762
IL2_score_21050467	100	113	150.894002531578
CD8_PCA_16704732	99	111	148.734663074886
G_SLAMF6	96	97	136.473440639562
B_cell_PCA_16704732	89	93	128.724512040248
Chemokine12_score	81	90	121.082616423663
TcClassII_score	75	88	115.624391890293
ICR_ACT_SCORE	75	79	108.93117092917
ICR_SCORE	70	73	101.138518873869
G_CD3E	61	76	97.4525525576421
Module4_TcellBcell_score	59	77	97.0051545022222
Tcell_receptors_score	71	66	96.9381245950219
G_CYTH4	78	57	96.6074531286277
Tcell_21978456	74	54	91.6078599247903
C7_Atom_10	68	56	88.090862182181
LCK_19272155	53	61	80.8084154033477
Immune_cell_Cluster_21214954	55	58	79.9312204335703
IL12_score_21050467	55	53	76.3806258157132
STAT1_score	47	56	73.109506905737
T_cell_PCA_16704732	46	52	69.4262198308391
GP2_ImmuneTcellBcell_score	43	43	60.8111831820431
HER2_Immune_PCA_18006808	37	47	59.8163857149527
Module5_TcellBcell_score	50	29	57.8013840664737
