AliquotBarcode	SampleBarcode	ClusterModel1	ClusterModel2	LIexpression_score	CSF1_response	TGFB_score_21050467	Module3_IFN_score	CHANG_CORE_SERUM_RESPONSE_UP
TCGA.78.7154.01A.11R.2039.07	TCGA-78-7154-01A	1	1	0.102983816907004	0.0893161279672204	0.122782525233232	-0.347555153485406	0.834331017581726
TCGA.78.7155.01A.11R.2039.07	TCGA-78-7155-01A	1	1	-0.133103160699599	-0.56284559951757	-1.08471449444458	-2.25337471974231	0.628822114303701
TCGA.78.7156.01A.11R.2039.07	TCGA-78-7156-01A	3	3	-0.113708128711943	-0.639970589328345	-1.21074953690253	-0.746824573146147	-1.04862235262377
TCGA.78.7158.01A.11R.2039.07	TCGA-78-7158-01A	3	3	-0.199426564202485	0.117676565152214	-0.522232296894326	-0.231887210590041	-0.354810243266334
TCGA.78.7159.01A.11R.2039.07	TCGA-78-7159-01A	1	1	0.884337399688134	0.168751017639217	0.363672082189159	0.159994456759938	0.319680516210261
TCGA.78.7160.01A.11R.2039.07	TCGA-78-7160-01A	3	3	1.24310746198528	1.45138707946733	0.445798142113374	0.188883876243814	-0.562075632897163
TCGA.78.7161.01A.11R.2039.07	TCGA-78-7161-01A	1	1	-0.0621401613094698	-0.656653199437164	0.492349794892198	0.21259084261417	-0.665708327712577
TCGA.78.7162.01A.21R.2066.07	TCGA-78-7162-01A	3	3	1.27277045208405	0.837595355232827	-0.0886310943736575	-0.168815653548907	-0.714889945591079
TCGA.78.7163.01A.12R.2066.07	TCGA-78-7163-01A	3	3	0.302638557956402	-0.89752442385451	-1.16948322461388	0.0153268294208348	-0.723672377355097
TCGA.78.7166.01A.12R.2066.07	TCGA-78-7166-01A	1	1	0.708869404411577	-0.323257652800902	-0.387049549741844	-0.417132343158404	0.551536714780341
TCGA.78.7167.01A.11R.2066.07	TCGA-78-7167-01A	3	3	0.124584558414824	-0.515492652362535	-0.0933065878841945	-1.16109002734814	-0.902833985341068
TCGA.78.7535.01A.11R.2066.07	TCGA-78-7535-01A	4	4	-0.108003707539103	0.924216600028622	0.121359548947416	-0.285255451163307	0.0948502630513962
TCGA.78.7536.01A.11R.2066.07	TCGA-78-7536-01A	2	2	0.482289795426375	0.743916083083299	-0.861917064551165	-0.653981476942241	0.586666441836414
TCGA.78.7537.01A.11R.2066.07	TCGA-78-7537-01A	3	3	0.740966280877423	0.208660954130317	0.168927613358966	-0.782550420141474	-0.897564526282657
